Date;Session Title;Player Name;Split Name;Tags;Split Start Time;Split End Time;Duration;Distance (km);Sprint Distance (m);Sprints;Power Plays;Accelerations;Decelerations;Energy (kcal);Impacts;Top Speed (km/h);Distance Per Min (m/min);Power Score (w/kg);Decelerations Per Min;Accelerations Per Min;Player Load;Sprint Distance Per Min (m/min);Work Ratio;Distance in Speed Zone 1  (km);Distance in Speed Zone 2  (km);Distance in Speed Zone 3  (km);Distance in Speed Zone 4  (km);Distance in Speed Zone 5  (km);Time in Speed Zone 1 (secs);Time in Speed Zone 2 (secs);Time in Speed Zone 3 (secs);Time in Speed Zone 4 (secs);Time in Speed Zone 5 (secs);Impact Zones: 3 - 5 G (Impacts);Impact Zones: 5 - 10 G (Impacts);Impact Zones: 10 - 15 G (Impacts);Impact Zones: 15 - 20 G (Impacts);Impact Zones: > 20 G (Impacts);Power Play Duration Zones: 0 - 2,5 s (Power Plays);Power Play Duration Zones: 2,5 - 5 s (Power Plays);Power Play Duration Zones: 5 - 7,5 s (Power Plays);Power Play Duration Zones: 7,5 - 10 s (Power Plays);Power Play Duration Zones: > 10 s (Power Plays);Distance in Deceleration Zones: 0 - 1 m/s/s  (km);Distance in Deceleration Zones: 1 - 2 m/s/s  (km);Distance in Deceleration Zones: 2 - 3 m/s/s  (km);Distance in Deceleration Zones: 3 - 4 m/s/s  (km);Distance in Deceleration Zones: > 4 m/s/s  (km);Time in Deceleration Zones: 0 - 1 m/s/s (secs);Time in Deceleration Zones: 1 - 2 m/s/s (secs);Time in Deceleration Zones: 2 - 3 m/s/s (secs);Time in Deceleration Zones: 3 - 4 m/s/s (secs);Time in Deceleration Zones: > 4 m/s/s (secs);Distance in Acceleration Zones: 0 - 1 m/s/s  (km);Distance in Acceleration Zones: 1 - 2 m/s/s  (km);Distance in Acceleration Zones: 2 - 3 m/s/s  (km);Distance in Acceleration Zones: 3 - 4 m/s/s  (km);Distance in Acceleration Zones: > 4 m/s/s  (km);Time in Acceleration Zones: 0 - 1 m/s/s (secs);Time in Acceleration Zones: 1 - 2 m/s/s (secs);Time in Acceleration Zones: 2 - 3 m/s/s (secs);Time in Acceleration Zones: 3 - 4 m/s/s (secs);Time in Acceleration Zones: > 4 m/s/s (secs);Distance in Power Zone: 0 - 5 w/kg  (km);Distance in Power Zone: 5 - 10 w/kg  (km);Distance in Power Zone: 10 - 15 w/kg  (km);Distance in Power Zone: 15 - 20 w/kg  (km);Distance in Power Zone: 20 - 25 w/kg  (km);Distance in Power Zone: 25 - 30 w/kg  (km);Distance in Power Zone: 30 - 35 w/kg  (km);Distance in Power Zone: 35 - 40 w/kg  (km);Distance in Power Zone: 40 - 45 w/kg  (km);Distance in Power Zone: 45 - 50 w/kg  (km);Distance in Power Zone: > 50 w/kg  (km);Time in Power Zone: 0 - 5 w/kg (secs);Time in Power Zone: 5 - 10 w/kg (secs);Time in Power Zone: 10 - 15 w/kg (secs);Time in Power Zone: 15 - 20 w/kg (secs);Time in Power Zone: 20 - 25 w/kg (secs);Time in Power Zone: 25 - 30 w/kg (secs);Time in Power Zone: 30 - 35 w/kg (secs);Time in Power Zone: 35 - 40 w/kg (secs);Time in Power Zone: 40 - 45 w/kg (secs);Time in Power Zone: 45 - 50 w/kg (secs);Time in Power Zone: > 50 w/kg (secs);Time in HR Load Zone 0% - 60% Max HR(secs);Time in HR Load Zone 60% - 75% Max HR (secs);Time in HR Load Zone 75% - 85% Max HR (secs);Time in HR Load Zone 85% - 96% Max HR (secs);Time in HR Load Zone 96% - 100% Max HR (secs);Accelerations Zone Count: 0 - 1 m/s/s;Accelerations Zone Count: 1 - 2 m/s/s;Accelerations Zone Count: 2 - 3 m/s/s;Accelerations Zone Count: 3 - 4 m/s/s;Accelerations Zone Count: > 4 m/s/s;Deceleration Zone Count: 0 - 1 m/s/s;Deceleration Zone Count: 1 - 2 m/s/s;Deceleration Zone Count: 2 - 3 m/s/s;Deceleration Zone Count: 3 - 4 m/s/s;Deceleration Zone Count: > 4 m/s/s
45321;Treino Tecnico 30-01-24;Arlen Silva;all; training; 45321,686070602;45321,757237269;"6149";5,137;151,569;2;33;102;97;714,9562;2;22,4002;50,1253;4,2123;0,9465;0,9953;298,7557;1,479;15,4228;"3,0058";"1,2743";"0,7054";"0,1516";"0";"5529,7";"437,5";"155,6";"25,9";"0";"195";"2";"0";"0";"0";"0";"23";"10";"0";"0";"1,8438";"0,5308";"0,2017";"0,0772";"0,0406";"2566,9";"239,8";"72,7";"25,4";"12,4";"1,7245";"0,452";"0,1867";"0,0654";"0,0143";"2878,8";"228,7";"84,5";"31,9";"7,6";"2,0149";"0,9691";"0,7393";"0,54";"0,3402";"0,1652";"0,0956";"0,0747";"0,0472";"0,0389";"0,1119";"4885";"597,7";"278,4";"158,2";"85,9";"43,8";"26,9";"20,4";"13,3";"10,1";"29";"0";"0";"0";"0";"0";"0";"117";"99";"67";"35";"0";"90";"113";"47";"50"
45324;Treino Tecnico G2 - 02-02-24;Arlen Silva;all; training; 45324,705332176;45324,753809028;"4188";4,3658;153,922;5;30;47;53;592,1173;1;27,6962;62,5479;5,1214;0,7593;0,6734;233,7409;2,2052;22,2358;"2,3519";"1,3316";"0,5284";"0,1211";"0,0328";"3595,3";"449,5";"119,1";"19,9";"4,5";"114";"1";"0";"0";"0";"0";"26";"2";"2";"0";"1,6553";"0,4589";"0,142";"0,0505";"0,0146";"1596,8";"224,1";"53,1";"15,7";"4,5";"1,4569";"0,4191";"0,1318";"0,0308";"0,0059";"1977,3";"234,9";"63,9";"15,3";"2,7";"1,3129";"1,0206";"0,8288";"0,5408";"0,2587";"0,1469";"0,0826";"0,0435";"0,0327";"0,0232";"0,075";"2910,1";"644,9";"304,7";"158,4";"71";"36,5";"20,5";"11,6";"7,6";"6";"17";"0";"0";"0";"0";"0";"0";"98";"100";"33";"14";"0";"116";"105";"34";"19"
45337;Jg OF 8 Portuguesa 1x0 Audax Rio;Arlen Silva;all; game; 45337,781371528;45337,854106481;"6284";8,9846;716,347;24;58;57;79;1164,9302;3;29,6482;85,7852;6,7157;0,7543;0,5442;382,0419;6,8397;32,3462;"4,4822";"2,588";"1,198";"0,5707";"0,1457";"5031,4";"875,6";"265,1";"92,9";"19,2";"113";"3";"0";"0";"0";"0";"28";"20";"6";"4";"3,642";"0,6009";"0,1977";"0,086";"0,0469";"2730,7";"237,7";"66";"26,4";"11,9";"3,5442";"0,6438";"0,1746";"0,0382";"0,0102";"2854,5";"267,2";"68,5";"16,5";"4,8";"2,0736";"2,5229";"1,6147";"1,0663";"0,6115";"0,4217";"0,218";"0,1405";"0,0966";"0,0633";"0,1555";"3467,5";"1575,3";"577,4";"296,9";"141,8";"87";"43,1";"29,1";"19,6";"13,2";"33,3";"0";"0";"0";"0";"0";"0";"180";"91";"39";"18";"0";"146";"94";"45";"34"
45343;Cop  Brasil Audax 0x0 Portuguesa;Arlen Silva;all; game; 45343,805584491;45343,869633102;"5534";7,2263;385,386;15;43;51;71;937,0096;4;28,5122;78,3478;6,1341;0,7698;0,5529;332,0801;4,1784;30,6757;"3,669";"2,3403";"0,8316";"0,3138";"0,0716";"4497,5";"791,6";"183,6";"51,3";"9,7";"95";"4";"0";"0";"0";"0";"25";"13";"4";"1";"2,9767";"0,4863";"0,1516";"0,0616";"0,0443";"2471,5";"208";"53,9";"19,9";"13";"2,8129";"0,5024";"0,1486";"0,0373";"0,0047";"2448,1";"240,8";"59,9";"16,5";"2,1";"1,7494";"2,001";"1,5348";"0,8284";"0,4152";"0,2551";"0,1531";"0,0778";"0,0629";"0,0384";"0,1101";"3260,5";"1236,9";"546,1";"237,2";"100,9";"55,9";"32,4";"17,5";"13,5";"8,9";"23,9";"0";"0";"0";"0";"0";"0";"172";"83";"38";"13";"0";"134";"76";"37";"34"
45346;Jg Of 10 Audax Rio 2x0 Botafogo;Arlen Silva;all; game; 45346,66050463;45346,753158565;"8005";11,3378;966,348;31;84;107;102;1513,8865;5;31,5603;84,9807;6,8507;0,7645;0,802;476,1967;7,2431;33,7064;"5,483";"3,1955";"1,6929";"0,7296";"0,2367";"6406";"1074,8";"373,5";"119,7";"31,3";"120";"5";"0";"0";"0";"0";"39";"29";"13";"3";"4,4383";"0,9117";"0,2921";"0,0934";"0,076";"3185,8";"360,8";"91,6";"26,6";"19,5";"4,2695";"0,88";"0,2821";"0,0713";"0,0234";"3811,1";"368,9";"101,4";"29,5";"10,1";"2,3634";"3,1936";"2,0147";"1,3838";"0,8455";"0,5153";"0,3243";"0,2065";"0,1254";"0,0866";"0,2787";"4396,6";"1991";"716,7";"382,2";"198,5";"109";"64,7";"42,1";"26,8";"17,8";"59,9";"0";"0";"0";"0";"0";"0";"228";"132";"71";"36";"0";"222";"132";"54";"48"
45320;Jg Of 4 Audax Rio 0x1 Boa Vista;Joao Victor;all; game; 45320,850373843;45320,946986111;"8347";10,5268;420,081;12;40;71;71;1597,6152;4;29,6482;75,6692;5,8033;0,5104;0,5104;412,0382;3,0196;31,4309;"5,7529";"3,1269";"1,227";"0,319";"0,1011";"6962,2";"1045,2";"274,1";"52,1";"13,6";"60";"4";"0";"0";"0";"0";"18";"12";"5";"5";"4,4685";"0,7485";"0,1971";"0,0556";"0,0328";"3756";"349";"76,2";"18,8";"8,4";"4,1207";"0,694";"0,1588";"0,0447";"0,0062";"3680,6";"352,9";"78,4";"22,7";"4,2";"2,5043";"3,3061";"2,0022";"1,2741";"0,6454";"0,3198";"0,1747";"0,1011";"0,0731";"0,0451";"0,0809";"4902,8";"2034,6";"705,5";"362,3";"162,3";"74,1";"38,9";"22";"16";"10";"18,7";"0";"0";"0";"0";"0";"0";"225";"146";"54";"17";"0";"217";"131";"48";"23"
45323;Jg Of 5 V Redonda 2x0 Audax Rio;Joao Victor;all; game; 45323,789354167;45323,881357639;"7949";11,8032;666,858;21;63;113;108;1847,5719;2;29,4162;89,0923;7,0549;0,8152;0,8529;465,7499;5,0335;38,6451;"6,0297";"3,6083";"1,4984";"0,4594";"0,2075";"6291,1";"1217,9";"336,9";"75,6";"27,5";"108";"2";"0";"0";"0";"0";"37";"17";"5";"4";"4,7902";"0,9508";"0,2856";"0,0909";"0,039";"3434,9";"415,6";"102,5";"29,7";"11,3";"4,4435";"0,8905";"0,2285";"0,0685";"0,0157";"3378,4";"430,2";"103,9";"34,2";"8,3";"2,3149";"3,7853";"2,2969";"1,4842";"0,7585";"0,3924";"0,2788";"0,1672";"0,0933";"0,0623";"0,1695";"3941";"2318,9";"822,4";"417,7";"190,9";"91,7";"58,1";"37";"19,9";"13,6";"37,8";"0";"0";"0";"0";"0";"0";"288";"166";"77";"36";"0";"248";"168";"67";"41"
45326;Jogo Of 6 Audax Rio 0x1 Bangu;Joao Victor;all; game; 45326,885884259;45326,986013889;"8651";11,648;376,485;12;56;100;103;1803,5494;2;26,4002;80,7861;6,3211;0,7144;0,6936;445,1095;2,6112;34,947;"6,0548";"3,7255";"1,4912";"0,3483";"0,0282";"7007,1";"1248,8";"333,6";"57,7";"3,9";"57";"2";"0";"0";"0";"0";"28";"20";"5";"3";"4,8535";"0,888";"0,236";"0,0815";"0,0418";"3668,5";"398,3";"85,7";"26,7";"11,8";"4,4215";"0,8396";"0,2126";"0,0578";"0,0155";"3907,1";"415,3";"101,1";"28,6";"8";"2,4356";"3,6915";"2,3715";"1,4906";"0,7602";"0,3891";"0,174";"0,117";"0,07";"0,046";"0,1025";"4715,5";"2261,5";"838,9";"423,1";"193,2";"92,9";"42,8";"28,8";"16,9";"11,5";"26";"0";"0";"0";"0";"0";"0";"277";"176";"68";"32";"0";"264";"146";"58";"45"
45328;Treino Tecnico 06-02-24;Joao Victor;all; training; 45328,707949074;45328,772048611;"5538";5,0449;32,856;0;24;106;90;838,5397;0;22,5602;54,6573;4,5907;0,9751;1,1484;263,1252;0,356;20,4832;"2,7731";"1,5252";"0,7137";"0,0329";"0";"4858,8";"511,4";"162,3";"5,7";"0";"120";"0";"0";"0";"0";"0";"22";"2";"0";"0";"1,8242";"0,5711";"0,2055";"0,0657";"0,0253";"2375,5";"269,1";"79,8";"24,1";"8,6";"1,6256";"0,4824";"0,1839";"0,0503";"0,0108";"2397,9";"255,1";"95,2";"26,2";"6,7";"1,4461";"1,2622";"0,8958";"0,6952";"0,3138";"0,1443";"0,0973";"0,071";"0,0398";"0,026";"0,0534";"3995,2";"795,5";"328,4";"198,4";"89,6";"44,8";"29,5";"20,8";"12";"7,5";"16,5";"0";"0";"0";"0";"0";"0";"117";"129";"72";"34";"0";"126";"135";"57";"33"
45330;Jogo Of 7 Vasco 1x0 Audax Rio;Joao Victor;all; game; 45330,835886574;45330,934857639;"8551";11,1612;432,608;16;51;68;100;1706,7743;1;30,5762;78,3151;6,0519;0,7017;0,4771;440,6031;3,0355;32,3198;"6,0718";"3,3472";"1,3096";"0,3153";"0,1173";"7050";"1140,7";"292,7";"52,7";"15";"84";"1";"0";"0";"0";"0";"24";"22";"2";"3";"4,5447";"0,8279";"0,2193";"0,0833";"0,0414";"3724,9";"380,6";"82,8";"26,6";"12,6";"4,453";"0,7751";"0,169";"0,0398";"0,0078";"3834,7";"386,3";"77,6";"20,1";"4,9";"2,6252";"3,556";"2,1601";"1,2995";"0,658";"0,3168";"0,1865";"0,1334";"0,0749";"0,0504";"0,1004";"4845,1";"2196,7";"780,2";"370,8";"163";"74,9";"41,2";"28,9";"17";"10,9";"22,4";"0";"0";"0";"0";"0";"0";"301";"134";"51";"17";"0";"248";"130";"55";"45"
